cow_id,bull_id
RU00000012542,US00000003013
US00000013623,US00000003013
US00000013914,US00000003013
US00000016217,US00000003013
DE00000069992,US00000003013
NL00000070090,US00000003013
NL00000014356,US00000003013
US00000018919,US00000003013
FR00000017250,US00000003013
FR00000017401,US00000003013
RU00000019613,US00000003013
US00000019615,US00000003013
US00000017885,US00000003013
DE00000022169,US00000003013
NL00000022305,US00000003013
DE00000022441,US00000003013
GB00000022672,US00000003013
FR00000022873,US00000003013
FR00000076241,US00000003013
DE00000023302,US00000003013
US00000053239,US00000003013
GB00000019698,US00000003013
NL00000020176,US00000003013
GB00000024319,US00000003013
US00000024321,US00000003013
FR00000018161,US00000003013
GB00000026780,US00000003013
NL00000026805,US00000003013
US00000026827,US00000003013
GB00000025541,US00000003013
DE00000027325,US00000003013
NL00000027395,US00000003013
RU00000029246,US00000003013
